date;ref;NO2_61FD;NO2_61F0;NO2_61EF
2017-10-08 06:00:00;48.2;0.0;5.1;0.0
2017-10-08 06:15:00;58.2;0.0;7.1;0.0
2017-10-08 06:30:00;76.5;0.0;28.4;1.0
2017-10-08 06:45:00;51.5;0.0;21.3;2.0
2017-10-08 07:00:00;64.6;0.0;11.2;4.1
2017-10-08 07:15:00;55.4;0.0;18.3;1.0
2017-10-08 07:30:00;38.1;0.0;8.1;0.0
2017-10-08 07:45:00;21.0;0.0;1.0;0.0
2017-10-08 08:00:00;22.5;0.0;1.0;0.0
2017-10-08 08:15:00;32.7;0.0;4.1;0.0
2017-10-08 08:30:00;30.0;0.0;3.0;0.0
2017-10-08 08:45:00;24.0;0.0;0.0;0.0
2017-10-08 09:00:00;27.3;0.0;2.7;0.0
2017-10-08 09:15:00;30.8;0.0;4.1;0.0
2017-10-08 09:30:00;49.6;0.0;22.3;1.0
2017-10-08 09:45:00;37.0;0.0;10.1;0.0
2017-10-08 10:00:00;44.4;0.0;10.1;1.0
2017-10-08 10:15:00;53.0;0.0;28.4;5.1
2017-10-08 10:30:00;54.4;3.0;21.3;12.2
2017-10-08 10:45:00;51.7;1.0;18.3;3.0
2017-10-08 11:00:00;48.1;0.0;18.3;3.0
2017-10-08 11:15:00;54.3;0.0;32.5;5.1
2017-10-08 11:30:00;54.0;0.0;38.6;0.0
2017-10-08 11:45:00;39.0;0.0;18.3;0.0
2017-10-08 12:00:00;35.5;0.0;11.2;0.0
2017-10-08 12:15:00;55.8;1.0;12.2;5.1
2017-10-08 12:30:00;50.8;1.0;27.7;5.1
2017-10-08 12:45:00;57.1;0.0;15.2;5.1
2017-10-08 13:00:00;62.3;3.0;32.5;4.1
2017-10-08 13:15:00;67.6;2.0;34.5;8.1
2017-10-08 13:30:00;56.6;3.0;24.4;7.1
2017-10-08 13:45:00;70.2;4.1;42.6;16.2
2017-10-08 14:00:00;74.9;10.1;61.9;12.2
2017-10-08 14:15:00;74.6;11.2;48.7;13.2
2017-10-08 14:30:00;82.5;9.1;76.1;20.3
2017-10-08 14:45:00;86.1;25.4;59.9;34.5
2017-10-08 15:00:00;87.7;27.7;63.9;31.1
2017-10-08 15:15:00;92.0;29.4;81.2;42.6
2017-10-08 15:30:00;98.5;27.4;91.3;39.6
2017-10-08 15:45:00;97.3;34.5;75.1;48.7
2017-10-08 16:00:00;131.8;68.0;91.3;86.3
2017-10-08 16:15:00;131.7;54.8;120.8;71.0
2017-10-08 16:30:00;148.5;78.2;130.9;96.4
2017-10-08 16:45:00;139.3;80.5;121.8;100.1
2017-10-08 17:00:00;127.7;67.0;117.7;84.2
2017-10-08 17:15:00;116.3;53.8;105.6;66.0
2017-10-08 17:30:00;120.8;65.0;121.8;78.2
2017-10-08 17:45:00;111.9;49.7;99.5;60.9
2017-10-08 18:00:00;116.0;54.8;103.5;63.9
2017-10-08 18:15:00;107.8;40.6;103.5;54.8
2017-10-08 18:30:00;108.9;39.9;98.5;46.7
2017-10-08 18:45:00;106.0;39.6;94.4;46.7
2017-10-08 19:00:00;106.0;29.4;92.4;43.6
2017-10-08 19:15:00;95.6;29.4;72.1;40.6
2017-10-08 19:30:00;92.8;22.3;75.8;34.5
2017-10-08 19:45:00;90.6;13.2;72.1;23.3
2017-10-08 20:00:00;96.3;23.3;70.0;29.4
2017-10-08 20:15:00;90.5;25.0;71.0;30.4
2017-10-08 20:30:00;80.5;10.1;54.8;14.2
2017-10-08 20:45:00;74.9;1.0;49.7;7.1
2017-10-08 21:00:00;60.3;0.0;22.3;0.0
2017-10-08 21:15:00;56.2;0.0;15.6;0.0
2017-10-08 21:30:00;56.8;1.0;16.2;3.0
2017-10-08 21:45:00;53.8;0.0;8.1;0.0
2017-10-08 22:00:00;52.6;0.0;14.2;0.0
2017-10-08 22:15:00;53.1;0.0;16.2;0.0
2017-10-08 22:30:00;43.5;0.0;7.1;0.0
2017-10-08 22:45:00;39.1;0.0;2.0;0.0
2017-10-08 23:00:00;32.7;0.0;0.0;0.0
2017-10-08 23:15:00;30.1;0.0;0.0;0.0
2017-10-08 23:30:00;32.0;0.0;0.0;0.0
2017-10-08 23:45:00;34.3;0.0;0.0;0.0
2017-10-09 00:00:00;32.6;0.0;1.0;0.0
2017-10-09 00:15:00;30.7;0.0;0.0;0.0
2017-10-09 00:30:00;30.5;0.0;0.0;0.0
2017-10-09 00:45:00;35.2;0.0;0.0;0.0
2017-10-09 01:00:00;22.3;0.0;0.0;0.0
2017-10-09 01:15:00;23.4;0.0;0.0;0.0
2017-10-09 01:30:00;20.9;0.0;0.0;0.0
2017-10-09 01:45:00;26.4;0.0;0.0;0.0
2017-10-09 02:00:00;30.3;0.0;0.0;0.0
2017-10-09 02:15:00;28.0;0.0;0.0;0.0
2017-10-09 02:30:00;26.0;0.0;0.0;0.0
2017-10-09 02:45:00;35.8;0.0;1.0;0.0
2017-10-09 03:00:00;43.4;0.0;1.0;0.0
2017-10-09 03:15:00;49.5;0.0;8.1;0.0
2017-10-09 03:30:00;39.3;0.0;5.1;0.0
2017-10-09 03:45:00;36.0;0.0;1.0;0.0
2017-10-09 04:00:00;54.0;3.0;10.2;3.0
2017-10-09 04:15:00;39.4;0.0;4.7;0.0
2017-10-09 04:30:00;50.9;0.0;9.1;0.0
2017-10-09 04:45:00;49.4;0.0;9.1;0.0
2017-10-09 05:00:00;47.4;0.0;10.1;1.4
2017-10-09 05:15:00;56.8;0.0;19.3;0.0
2017-10-09 05:30:00;59.9;0.0;26.4;0.0
2017-10-09 05:45:00;48.1;0.0;7.1;0.0
2017-10-09 06:00:00;37.5;0.0;0.0;0.0
2017-10-09 06:15:00;44.9;0.0;5.1;0.0
2017-10-09 06:30:00;74.4;0.0;19.3;0.0
2017-10-09 06:45:00;65.9;12.9;42.6;14.2
2017-10-09 07:00:00;41.3;0.0;2.0;0.0
2017-10-09 07:15:00;34.7;0.0;0.0;0.0
2017-10-09 07:30:00;39.9;0.0;0.0;0.0
2017-10-09 07:45:00;43.5;0.0;2.7;0.0
2017-10-09 08:00:00;47.4;0.0;7.1;0.0
2017-10-09 08:15:00;48.5;0.0;7.1;0.0
2017-10-09 08:30:00;45.7;0.0;11.2;0.0
2017-10-09 08:45:00;43.1;0.0;2.0;0.0
2017-10-09 09:00:00;55.1;0.0;21.3;0.0
2017-10-09 09:15:00;53.5;0.0;14.2;0.0
